scenario	human_gene_name	mouse_component	human_component	pharmacology_component	penalty_component	scenario_score	scenario_rank	top10	median_rank_all_scenarios	rank_range_all_scenarios	top10_frequency_all_scenarios
omit_human	MT-ND4	33.74725470251237	0.0	16.651204014595372	3.0	47.398458717107744	14	False	11.0	6-16	0.3157894736842105
omit_human	COL3A1	38.30561679246617	0.0	24.0	15.0	47.30561679246617	15	False	8.0	3-37	0.7894736842105263
omit_human	VIM	37.77622878697581	0.0	18.870442863965017	10.0	46.646671650940824	16	False	14.0	11-27	0.0
omit_human	MT-ND5	33.84099040956678	0.0	15.647967533414494	3.0	46.48895794298127	17	False	13.0	9-19	0.05263157894736842
omit_human	LY6E	35.32799135935423	0.0	10.880861287342233	0.0	46.208852646696464	18	False	23.0	18-62	0.0
omit_human	TGFB1	35.12623295523657	0.0	25.01240803954329	14.0	46.138640994779855	19	False	21.0	14-90	0.0
omit_human	CCR2	33.771147530522995	0.0	20.0	10.0	43.771147530522995	20	False	54.0	20-95	0.0
omit_human	ITGA1	32.96101071902872	0.0	10.225260375235125	0.0	43.186271094263844	21	False	30.0	21-71	0.0
omit_human	CXCL12	37.58499380577856	0.0	23.00647066125395	18.0	42.59146446703251	22	False	17.0	9-85	0.05263157894736842
omit_human	TGM2	35.355903759158416	0.0	6.143194604301974	0.0	41.49909836346039	23	False	26.0	8-67	0.05263157894736842
omit_human	IGFBP7	37.830678240975146	0.0	2.8069353040487472	0.0	40.637613545023896	24	False	19.0	1-52	0.05263157894736842
omit_human	STK10	33.7289289245147	0.0	5.5	0.0	39.2289289245147	25	False	41.0	25-80	0.0
omit_human	SNX3	34.89219551682361	0.0	3.8914266094995007	0.0	38.78362212632311	26	False	56.0	26-90	0.0
