candidate_gene	candidate_mouse_spatial_score	null_index	matched_mouse_gene	matched_mouse_spatial_score	detection_distance	effect_percentile_distance	seed
COL5A1	38.09648599864171	9	H2-Aa	37.761665647624	0.02784457171726007	0.004905002989001095	20260711
COL5A1	38.09648599864171	10	Pde4dip	34.15438590278526	0.048900385235685406	0.020128382644598486	20260711
COL5A1	38.09648599864171	11	H2afz	37.16955235681372	0.006742544581918586	0.008503589177250137	20260711
COL5A1	38.09648599864171	12	Sh3bgrl3	37.337721535156916	0.06424362542930284	0.001104362230811784	20260711
COL5A1	38.09648599864171	13	Rcan2	34.5863298930002	0.02987345202193825	0.04455645554107002	20260711
COL5A1	38.09648599864171	14	Rab1a	34.457847632092815	0.003633590307835055	0.07708448371065713	20260711
COL5A1	38.09648599864171	15	Sh3bgr	36.24246152640872	0.013663533388979632	0.013536680434439563	20260711
COL5A1	38.09648599864171	16	Tmod1	34.91856533843371	0.05316381046145113	0.029046567987754734	20260711
COL5A1	38.09648599864171	17	Arpc1b	38.46454406242473	0.03995006242197252	0.0018774157923798773	20260711
COL5A1	38.09648599864171	18	S100a11	37.415491436978215	0.030794839783603756	0.015681943677526178	20260711
COL5A1	38.09648599864171	19	Eln	33.51468395745127	0.024552642530170643	0.005632247377139743	20260711
COL5A1	38.09648599864171	20	Adprhl1	34.293163614249174	0.02383493565167738	0.013924427623272395	20260711
